CMDLINE C:\Python312\python.exe pipelines/clean_fire_data.py
MEM 740.476562 1746033044.8752
MEM 741.000000 1746033044.9756
MEM 741.339844 1746033045.0758
MEM 741.808594 1746033045.1763
MEM 742.253906 1746033045.2767
MEM 742.601562 1746033045.3773
MEM 743.132812 1746033045.4774
MEM 743.601562 1746033045.5778
MEM 744.128906 1746033045.6782
MEM 744.656250 1746033045.7787
MEM 744.929688 1746033045.8789
MEM 745.394531 1746033045.9792
MEM 745.921875 1746033046.0795
MEM 746.441406 1746033046.1799
MEM 746.921875 1746033046.2805
MEM 747.515625 1746033046.3880
MEM 747.785156 1746033046.4886
MEM 748.050781 1746033046.5906
MEM 748.312500 1746033046.6914
MEM 748.714844 1746033046.7917
MEM 749.042969 1746033046.8920
MEM 749.378906 1746033046.9926
MEM 749.777344 1746033047.0931
MEM 750.242188 1746033047.1934
MEM 750.578125 1746033047.2938
MEM 751.105469 1746033047.3942
MEM 751.632812 1746033047.4948
MEM 752.097656 1746033047.5953
MEM 752.433594 1746033047.6956
MEM 752.898438 1746033047.7962
MEM 753.378906 1746033047.8966
MEM 753.890625 1746033047.9970
MEM 754.226562 1746033048.0973
MEM 754.691406 1746033048.1979
MEM 755.218750 1746033048.2983
MEM 755.683594 1746033048.3987
MEM 756.019531 1746033048.4990
MEM 756.484375 1746033048.5993
MEM 756.937500 1746033048.6997
MEM 757.316406 1746033048.8006
MEM 757.800781 1746033048.9012
MEM 758.285156 1746033049.0018
MEM 758.816406 1746033049.1024
MEM 759.152344 1746033049.2030
MEM 759.609375 1746033049.3034
MEM 760.144531 1746033049.4037
MEM 760.601562 1746033049.5043
MEM 761.007812 1746033049.6048
MEM 761.335938 1746033049.7054
MEM 761.675781 1746033049.8056
MEM 762.335938 1746033049.9059
MEM 762.929688 1746033050.0065
MEM 763.394531 1746033050.1068
MEM 763.945312 1746033050.2070
MEM 764.457031 1746033050.3072
MEM 764.992188 1746033050.4076
MEM 765.519531 1746033050.5079
MEM 765.996094 1746033050.6083
MEM 766.589844 1746033050.7090
MEM 766.792969 1746033050.8094
MEM 767.125000 1746033050.9140
MEM 767.332031 1746033051.0144
MEM 767.652344 1746033051.1151
MEM 768.117188 1746033051.2175
MEM 768.316406 1746033051.3188
MEM 768.589844 1746033051.4192
MEM 768.980469 1746033051.5194
MEM 769.445312 1746033051.6197
MEM 769.910156 1746033051.7200
MEM 770.109375 1746033051.8204
MEM 770.109375 1746033051.9209
MEM 770.109375 1746033052.0213
MEM 770.109375 1746033052.1220
MEM 770.109375 1746033052.2225
MEM 770.117188 1746033052.3229
MEM 770.644531 1746033052.4232
MEM 771.171875 1746033052.5238
MEM 771.507812 1746033052.6240
MEM 771.906250 1746033052.7247
MEM 772.238281 1746033052.8249
MEM 772.765625 1746033052.9251
MEM 773.300781 1746033053.0253
MEM 773.765625 1746033053.1259
MEM 774.105469 1746033053.2262
MEM 774.519531 1746033053.3267
MEM 775.066406 1746033053.4270
MEM 775.429688 1746033053.5271
MEM 775.960938 1746033053.6273
MEM 776.425781 1746033053.7278
MEM 776.761719 1746033053.8284
MEM 777.171875 1746033053.9288
MEM 777.558594 1746033054.0290
MEM 777.957031 1746033054.1295
MEM 778.417969 1746033054.2302
MEM 778.882812 1746033054.3306
MEM 779.351562 1746033054.4311
MEM 779.945312 1746033054.5313
MEM 780.476562 1746033054.6315
MEM 781.011719 1746033054.7319
MEM 781.507812 1746033054.8323
MEM 782.007812 1746033054.9330
MEM 782.542969 1746033055.0338
MEM 783.070312 1746033055.1344
MEM 783.597656 1746033055.2348
MEM 783.871094 1746033055.3353
MEM 784.070312 1746033055.4387
MEM 784.312500 1746033055.5396
MEM 784.734375 1746033055.6399
MEM 784.917969 1746033055.7402
MEM 785.398438 1746033055.8407
MEM 785.730469 1746033055.9409
MEM 786.000000 1746033056.0424
MEM 786.328125 1746033056.1428
MEM 786.726562 1746033056.2430
MEM 787.191406 1746033056.3432
MEM 787.656250 1746033056.4435
MEM 787.992188 1746033056.5437
MEM 788.503906 1746033056.6443
MEM 788.984375 1746033056.7447
MEM 789.320312 1746033056.8451
MEM 789.785156 1746033056.9457
MEM 790.312500 1746033057.0460
MEM 790.648438 1746033057.1464
MEM 791.042969 1746033057.2472
MEM 791.375000 1746033057.3480
MEM 791.851562 1746033057.4486
MEM 792.371094 1746033057.5493
MEM 792.839844 1746033057.6503
MEM 793.171875 1746033057.7509
MEM 793.632812 1746033057.8523
MEM 794.031250 1746033057.9527
MEM 794.496094 1746033058.0534
MEM 794.960938 1746033058.1536
MEM 795.437500 1746033058.2542
MEM 795.765625 1746033058.3546
MEM 796.292969 1746033058.4551
MEM 796.757812 1746033058.5554
MEM 797.292969 1746033058.6560
MEM 797.492188 1746033058.7572
MEM 798.019531 1746033058.8584
MEM 798.558594 1746033058.9586
MEM 799.078125 1746033059.0589
MEM 799.613281 1746033059.1592
MEM 800.085938 1746033059.2599
MEM 800.675781 1746033059.3605
MEM 801.148438 1746033059.4609
MEM 801.613281 1746033059.5613
MEM 802.210938 1746033059.6619
MEM 802.742188 1746033059.7623
MEM 803.117188 1746033059.8627
MEM 803.281250 1746033059.9726
MEM 803.480469 1746033060.0752
MEM 803.937500 1746033060.1763
MEM 804.746094 1746033060.2767
MEM 805.074219 1746033060.3770
MEM 805.410156 1746033060.4776
MEM 805.914062 1746033060.5779
MEM 806.398438 1746033060.6793
MEM 806.796875 1746033060.7795
MEM 807.261719 1746033060.8799
MEM 807.734375 1746033060.9806
MEM 808.261719 1746033061.0809
MEM 808.593750 1746033061.1811
MEM 809.062500 1746033061.2816
MEM 809.527344 1746033061.3828
MEM 810.054688 1746033061.4838
MEM 810.390625 1746033061.5845
MEM 810.855469 1746033061.6855
MEM 811.320312 1746033061.7858
MEM 811.718750 1746033061.8861
MEM 812.179688 1746033061.9867
MEM 812.648438 1746033062.0873
MEM 812.890625 1746033062.1882
MEM 813.378906 1746033062.2888
MEM 813.777344 1746033062.3892
MEM 814.242188 1746033062.4900
MEM 814.710938 1746033062.5907
MEM 815.171875 1746033062.6911
MEM 815.574219 1746033062.7917
MEM 816.039062 1746033062.8920
MEM 816.503906 1746033062.9924
MEM 816.972656 1746033063.0929
MEM 817.367188 1746033063.1931
MEM 817.765625 1746033063.2937
MEM 818.296875 1746033063.3940
MEM 818.832031 1746033063.4948
MEM 819.359375 1746033063.5952
MEM 819.832031 1746033063.6958
MEM 820.359375 1746033063.7962
MEM 820.886719 1746033063.8964
MEM 821.359375 1746033063.9970
MEM 821.953125 1746033064.0976
MEM 822.480469 1746033064.1986
MEM 822.750000 1746033064.2998
MEM 823.015625 1746033064.4085
MEM 823.214844 1746033064.5100
MEM 823.484375 1746033064.6104
MEM 823.757812 1746033064.7108
MEM 824.039062 1746033064.8111
MEM 824.347656 1746033064.9118
MEM 824.808594 1746033065.0124
MEM 825.019531 1746033065.1130
MEM 825.476562 1746033065.2133
MEM 826.007812 1746033065.3139
MEM 826.343750 1746033065.4144
MEM 826.804688 1746033065.5158
MEM 827.140625 1746033065.6173
MEM 827.582031 1746033065.7183
MEM 828.089844 1746033065.8187
MEM 828.445312 1746033065.9191
MEM 828.925781 1746033066.0197
MEM 829.464844 1746033066.1202
MEM 829.800781 1746033066.2206
MEM 830.128906 1746033066.3211
MEM 830.464844 1746033066.4214
MEM 830.929688 1746033066.5219
MEM 831.457031 1746033066.6224
MEM 831.925781 1746033066.7229
MEM 832.257812 1746033066.8232
MEM 832.722656 1746033066.9237
MEM 833.253906 1746033067.0244
MEM 833.656250 1746033067.1250
MEM 834.121094 1746033067.2253
MEM 834.515625 1746033067.3259
MEM 834.917969 1746033067.4262
MEM 835.449219 1746033067.5265
MEM 835.914062 1746033067.6270
MEM 836.445312 1746033067.7272
MEM 836.644531 1746033067.8275
MEM 837.179688 1746033067.9279
MEM 837.710938 1746033068.0281
MEM 838.226562 1746033068.1286
MEM 838.769531 1746033068.2288
MEM 839.238281 1746033068.3293
MEM 839.703125 1746033068.4295
MEM 840.300781 1746033068.5300
MEM 840.765625 1746033068.6303
MEM 841.296875 1746033068.7308
MEM 841.828125 1746033068.8326
MEM 842.093750 1746033068.9391
MEM 842.292969 1746033069.0400
MEM 842.558594 1746033069.1405
MEM 842.894531 1746033069.2411
MEM 843.093750 1746033069.3415
MEM 843.625000 1746033069.4420
MEM 843.957031 1746033069.5422
MEM 844.355469 1746033069.6424
MEM 844.882812 1746033069.7430
MEM 845.417969 1746033069.8436
MEM 845.753906 1746033069.9888
MEM 845.953125 1746033070.0897
MEM 846.410156 1746033070.2172
MEM 846.683594 1746033070.3186
MEM 847.210938 1746033070.4190
MEM 847.546875 1746033070.5193
MEM 847.992188 1746033070.6201
MEM 848.476562 1746033070.7205
MEM 849.003906 1746033070.8207
MEM 849.339844 1746033070.9211
MEM 849.738281 1746033071.0215
MEM 850.070312 1746033071.1221
MEM 850.601562 1746033071.2226
MEM 851.066406 1746033071.3229
MEM 851.402344 1746033071.4231
MEM 851.867188 1746033071.5238
MEM 852.394531 1746033071.6244
MEM 852.859375 1746033071.7250
MEM 853.390625 1746033071.8256
MEM 853.664062 1746033071.9258
MEM 854.191406 1746033072.0261
MEM 854.656250 1746033072.1265
MEM 854.988281 1746033072.2269
MEM 855.457031 1746033072.3271
MEM 855.988281 1746033072.4277
MEM 856.320312 1746033072.5291
MEM 856.789062 1746033072.6292
MEM 857.316406 1746033072.7296
MEM 857.843750 1746033072.8298
MEM 858.316406 1746033072.9304
MEM 858.843750 1746033073.0314
MEM 859.375000 1746033073.1320
MEM 859.843750 1746033073.2326
MEM 860.437500 1746033073.3331
MEM 860.972656 1746033073.4333
MEM 861.367188 1746033073.5361
MEM 861.503906 1746033073.6370
MEM 861.699219 1746033073.7374
MEM 861.937500 1746033073.8383
MEM 862.238281 1746033073.9385
MEM 862.585938 1746033074.0388
MEM 862.968750 1746033074.1393
MEM 863.296875 1746033074.2398
MEM 863.632812 1746033074.3406
MEM 863.964844 1746033074.4416
MEM 864.234375 1746033074.5419
MEM 864.625000 1746033074.6423
MEM 865.023438 1746033074.7430
MEM 865.488281 1746033074.8439
MEM 865.828125 1746033074.9446
MEM 866.355469 1746033075.0448
MEM 866.820312 1746033075.1452
MEM 867.285156 1746033075.2458
MEM 867.625000 1746033075.3462
MEM 868.148438 1746033075.4500
MEM 868.484375 1746033075.5510
MEM 868.910156 1746033075.6512
MEM 869.414062 1746033075.7515
MEM 869.949219 1746033075.8517
MEM 870.414062 1746033075.9521
MEM 870.742188 1746033076.0526
MEM 871.207031 1746033076.1529
MEM 871.738281 1746033076.2531
MEM 872.207031 1746033076.3534
MEM 872.535156 1746033076.4540
MEM 872.742188 1746033076.5543
MEM 873.031250 1746033076.6546
MEM 873.597656 1746033076.7554
MEM 874.062500 1746033076.8561
MEM 874.527344 1746033076.9567
MEM 874.734375 1746033077.0568
MEM 875.390625 1746033077.1574
MEM 875.855469 1746033077.2577
MEM 876.328125 1746033077.3579
MEM 876.925781 1746033077.4585
MEM 877.390625 1746033077.5587
MEM 877.726562 1746033077.6590
MEM 878.261719 1746033077.7595
MEM 878.742188 1746033077.8599
MEM 879.363281 1746033077.9605
MEM 879.714844 1746033078.0608
MEM 880.062500 1746033078.1610
MEM 880.304688 1746033078.2696
MEM 880.570312 1746033078.3699
MEM 880.972656 1746033078.4702
MEM 881.234375 1746033078.5708
MEM 881.300781 1746033078.6712
MEM 881.500000 1746033078.7719
MEM 881.761719 1746033078.8725
MEM 881.898438 1746033078.9730
MEM 882.097656 1746033079.0735
MEM 882.562500 1746033079.1738
MEM 882.828125 1746033079.2741
MEM 883.035156 1746033079.3743
MEM 883.562500 1746033079.4746
MEM 883.890625 1746033079.5749
MEM 884.226562 1746033079.6753
MEM 884.691406 1746033079.7761
MEM 884.890625 1746033079.8767
MEM 885.488281 1746033079.9772
MEM 886.019531 1746033080.0774
MEM 886.484375 1746033080.1777
MEM 886.882812 1746033080.2779
MEM 887.199219 1746033080.3782
MEM 887.675781 1746033080.4785
MEM 888.011719 1746033080.5789
MEM 888.480469 1746033080.6794
MEM 889.007812 1746033080.7814
MEM 889.339844 1746033080.8827
MEM 889.804688 1746033080.9836
MEM 890.007812 1746033081.0840
MEM 890.539062 1746033081.1842
MEM 891.070312 1746033081.2847
MEM 891.535156 1746033081.3855
MEM 891.871094 1746033081.4860
MEM 892.199219 1746033081.5868
MEM 892.664062 1746033081.6869
MEM 893.128906 1746033081.7876
MEM 893.660156 1746033081.8880
MEM 893.929688 1746033081.9887
MEM 894.328125 1746033082.0895
MEM 894.792969 1746033082.1899
MEM 895.121094 1746033082.2905
MEM 895.449219 1746033082.3909
